facility_id,day,total_beds,occupied_beds,occupancy_rate
BHAG-CHC-1,58,31,22,0.71
BHAG-CHC-1,59,31,30,0.97
BHAG-CHC-1,60,31,27,0.87
BHAG-CHC-1,61,31,24,0.77
BHAG-CHC-1,62,31,25,0.81
BHAG-CHC-1,63,31,21,0.68
BHAG-CHC-1,64,31,25,0.81
BHAG-CHC-1,65,31,23,0.74
BHAG-CHC-1,66,31,24,0.77
BHAG-CHC-1,67,31,19,0.61
BHAG-CHC-1,68,31,26,0.84
BHAG-CHC-1,69,31,17,0.55
BHAG-CHC-1,70,31,20,0.65
BHAG-CHC-1,71,31,22,0.71
BHAG-CHC-1,72,31,25,0.81
BHAG-CHC-1,73,31,22,0.71
BHAG-CHC-1,74,31,20,0.65
BHAG-CHC-1,75,31,20,0.65
BHAG-CHC-1,76,31,25,0.81
BHAG-CHC-1,77,31,24,0.77
BHAG-CHC-1,78,31,20,0.65
BHAG-CHC-1,79,31,25,0.81
BHAG-CHC-1,80,31,31,1.0
BHAG-CHC-1,81,31,18,0.58
BHAG-CHC-1,82,31,21,0.68
BHAG-CHC-1,83,31,25,0.81
BHAG-CHC-1,84,31,20,0.65
BHAG-CHC-1,85,31,19,0.61
BHAG-CHC-1,86,31,27,0.87
BHAG-CHC-1,87,31,17,0.55
BHAG-CHC-1,88,31,24,0.77
BHAG-CHC-1,89,31,22,0.71
BHAG-PHC-2,0,14,10,0.71
BHAG-PHC-2,1,14,11,0.79
BHAG-PHC-2,2,14,10,0.71
BHAG-PHC-2,3,14,11,0.79
BHAG-PHC-2,4,14,11,0.79
BHAG-PHC-2,5,14,9,0.64
BHAG-PHC-2,6,14,11,0.79
BHAG-PHC-2,7,14,11,0.79
BHAG-PHC-2,8,14,12,0.86
BHAG-PHC-2,9,14,9,0.64
BHAG-PHC-2,10,14,11,0.79
BHAG-PHC-2,11,14,11,0.79
BHAG-PHC-2,12,14,10,0.71
BHAG-PHC-2,13,14,10,0.71
BHAG-PHC-2,14,14,9,0.64
BHAG-PHC-2,15,14,11,0.79
BHAG-PHC-2,16,14,14,1.0
BHAG-PHC-2,17,14,10,0.71
BHAG-PHC-2,18,14,10,0.71
BHAG-PHC-2,19,14,10,0.71
BHAG-PHC-2,20,14,12,0.86
BHAG-PHC-2,21,14,12,0.86
BHAG-PHC-2,22,14,12,0.86
BHAG-PHC-2,23,14,10,0.71
BHAG-PHC-2,24,14,11,0.79
BHAG-PHC-2,25,14,10,0.71
BHAG-PHC-2,26,14,9,0.64
BHAG-PHC-2,27,14,12,0.86
BHAG-PHC-2,28,14,9,0.64
BHAG-PHC-2,29,14,9,0.64
BHAG-PHC-2,30,14,11,0.79
BHAG-PHC-2,31,14,11,0.79
BHAG-PHC-2,32,14,11,0.79
BHAG-PHC-2,33,14,10,0.71
BHAG-PHC-2,34,14,11,0.79
BHAG-PHC-2,35,14,10,0.71
BHAG-PHC-2,36,14,11,0.79
BHAG-PHC-2,37,14,11,0.79
BHAG-PHC-2,38,14,8,0.57
BHAG-PHC-2,39,14,11,0.79
BHAG-PHC-2,40,14,11,0.79
BHAG-PHC-2,41,14,9,0.64
BHAG-PHC-2,42,14,10,0.71
BHAG-PHC-2,43,14,9,0.64
BHAG-PHC-2,44,14,8,0.57
BHAG-PHC-2,45,14,9,0.64
BHAG-PHC-2,46,14,9,0.64
BHAG-PHC-2,47,14,10,0.71
BHAG-PHC-2,48,14,12,0.86
BHAG-PHC-2,49,14,11,0.79
BHAG-PHC-2,50,14,11,0.79
BHAG-PHC-2,51,14,13,0.93
BHAG-PHC-2,52,14,9,0.64
BHAG-PHC-2,53,14,10,0.71
BHAG-PHC-2,54,14,11,0.79
BHAG-PHC-2,55,14,10,0.71
BHAG-PHC-2,56,14,8,0.57
BHAG-PHC-2,57,14,10,0.71
BHAG-PHC-2,58,14,12,0.86
BHAG-PHC-2,59,14,7,0.5
BHAG-PHC-2,60,14,11,0.79
BHAG-PHC-2,61,14,11,0.79
BHAG-PHC-2,62,14,9,0.64
BHAG-PHC-2,63,14,10,0.71
BHAG-PHC-2,64,14,9,0.64
BHAG-PHC-2,65,14,9,0.64
BHAG-PHC-2,66,14,8,0.57
BHAG-PHC-2,67,14,11,0.79
BHAG-PHC-2,68,14,7,0.5
BHAG-PHC-2,69,14,10,0.71
BHAG-PHC-2,70,14,13,0.93
BHAG-PHC-2,71,14,9,0.64
BHAG-PHC-2,72,14,10,0.71
BHAG-PHC-2,73,14,9,0.64
BHAG-PHC-2,74,14,11,0.79
BHAG-PHC-2,75,14,11,0.79
BHAG-PHC-2,76,14,9,0.64
BHAG-PHC-2,77,14,10,0.71
BHAG-PHC-2,78,14,9,0.64
BHAG-PHC-2,79,14,11,0.79
BHAG-PHC-2,80,14,9,0.64
BHAG-PHC-2,81,14,10,0.71
BHAG-PHC-2,82,14,11,0.79
BHAG-PHC-2,83,14,11,0.79
BHAG-PHC-2,84,14,9,0.64
BHAG-PHC-2,85,14,10,0.71
BHAG-PHC-2,86,14,10,0.71
BHAG-PHC-2,87,14,11,0.79
BHAG-PHC-2,88,14,12,0.86
BHAG-PHC-2,89,14,9,0.64
BHAG-PHC-3,0,12,9,0.75
BHAG-PHC-3,1,12,7,0.58
BHAG-PHC-3,2,12,9,0.75
BHAG-PHC-3,3,12,9,0.75
BHAG-PHC-3,4,12,10,0.83
BHAG-PHC-3,5,12,9,0.75
BHAG-PHC-3,6,12,10,0.83
BHAG-PHC-3,7,12,10,0.83
BHAG-PHC-3,8,12,10,0.83
BHAG-PHC-3,9,12,9,0.75
BHAG-PHC-3,10,12,9,0.75
BHAG-PHC-3,11,12,9,0.75
BHAG-PHC-3,12,12,9,0.75
BHAG-PHC-3,13,12,10,0.83
BHAG-PHC-3,14,12,7,0.58
BHAG-PHC-3,15,12,7,0.58
BHAG-PHC-3,16,12,10,0.83
BHAG-PHC-3,17,12,9,0.75
BHAG-PHC-3,18,12,11,0.92
BHAG-PHC-3,19,12,11,0.92
BHAG-PHC-3,20,12,10,0.83
BHAG-PHC-3,21,12,9,0.75
BHAG-PHC-3,22,12,12,1.0
BHAG-PHC-3,23,12,9,0.75
BHAG-PHC-3,24,12,8,0.67
BHAG-PHC-3,25,12,9,0.75
BHAG-PHC-3,26,12,8,0.67
BHAG-PHC-3,27,12,9,0.75
BHAG-PHC-3,28,12,8,0.67
BHAG-PHC-3,29,12,7,0.58
BHAG-PHC-3,30,12,7,0.58
BHAG-PHC-3,31,12,8,0.67
BHAG-PHC-3,32,12,11,0.92
BHAG-PHC-3,33,12,9,0.75
BHAG-PHC-3,34,12,9,0.75
BHAG-PHC-3,35,12,9,0.75
BHAG-PHC-3,36,12,8,0.67
BHAG-PHC-3,37,12,8,0.67
BHAG-PHC-3,38,12,10,0.83
BHAG-PHC-3,39,12,8,0.67
BHAG-PHC-3,40,12,9,0.75
BHAG-PHC-3,41,12,9,0.75
BHAG-PHC-3,42,12,7,0.58
BHAG-PHC-3,43,12,10,0.83
BHAG-PHC-3,44,12,10,0.83
BHAG-PHC-3,45,12,11,0.92
BHAG-PHC-3,46,12,10,0.83
BHAG-PHC-3,47,12,9,0.75
BHAG-PHC-3,48,12,9,0.75
BHAG-PHC-3,49,12,10,0.83
BHAG-PHC-3,50,12,9,0.75
BHAG-PHC-3,51,12,11,0.92
BHAG-PHC-3,52,12,8,0.67
BHAG-PHC-3,53,12,9,0.75
BHAG-PHC-3,54,12,9,0.75
BHAG-PHC-3,55,12,7,0.58
BHAG-PHC-3,56,12,10,0.83
BHAG-PHC-3,57,12,9,0.75
BHAG-PHC-3,58,12,9,0.75
BHAG-PHC-3,59,12,11,0.92
BHAG-PHC-3,60,12,8,0.67
BHAG-PHC-3,61,12,9,0.75
BHAG-PHC-3,62,12,7,0.58
BHAG-PHC-3,63,12,7,0.58
BHAG-PHC-3,64,12,10,0.83
BHAG-PHC-3,65,12,9,0.75
BHAG-PHC-3,66,12,9,0.75
BHAG-PHC-3,67,12,9,0.75
BHAG-PHC-3,68,12,11,0.92
BHAG-PHC-3,69,12,9,0.75
BHAG-PHC-3,70,12,10,0.83
BHAG-PHC-3,71,12,12,1.0
BHAG-PHC-3,72,12,9,0.75
BHAG-PHC-3,73,12,7,0.58
BHAG-PHC-3,74,12,10,0.83
BHAG-PHC-3,75,12,7,0.58
BHAG-PHC-3,76,12,11,0.92
BHAG-PHC-3,77,12,9,0.75
BHAG-PHC-3,78,12,8,0.67
BHAG-PHC-3,79,12,10,0.83
BHAG-PHC-3,80,12,9,0.75
BHAG-PHC-3,81,12,8,0.67
BHAG-PHC-3,82,12,9,0.75
BHAG-PHC-3,83,12,10,0.83
BHAG-PHC-3,84,12,8,0.67
BHAG-PHC-3,85,12,8,0.67
BHAG-PHC-3,86,12,11,0.92
BHAG-PHC-3,87,12,9,0.75
BHAG-PHC-3,88,12,7,0.58
BHAG-PHC-3,89,12,10,0.83
BHAG-PHC-4,0,9,7,0.78
BHAG-PHC-4,1,9,7,0.78
BHAG-PHC-4,2,9,7,0.78
BHAG-PHC-4,3,9,6,0.67
BHAG-PHC-4,4,9,7,0.78
BHAG-PHC-4,5,9,8,0.89
BHAG-PHC-4,6,9,6,0.67
BHAG-PHC-4,7,9,6,0.67
BHAG-PHC-4,8,9,6,0.67
BHAG-PHC-4,9,9,8,0.89
BHAG-PHC-4,10,9,7,0.78
BHAG-PHC-4,11,9,6,0.67
BHAG-PHC-4,12,9,8,0.89
BHAG-PHC-4,13,9,8,0.89
BHAG-PHC-4,14,9,7,0.78
BHAG-PHC-4,15,9,6,0.67
BHAG-PHC-4,16,9,6,0.67
BHAG-PHC-4,17,9,8,0.89
BHAG-PHC-4,18,9,7,0.78
BHAG-PHC-4,19,9,7,0.78
BHAG-PHC-4,20,9,7,0.78
BHAG-PHC-4,21,9,9,1.0
BHAG-PHC-4,22,9,7,0.78
BHAG-PHC-4,23,9,6,0.67
BHAG-PHC-4,24,9,6,0.67
BHAG-PHC-4,25,9,8,0.89
BHAG-PHC-4,26,9,6,0.67
BHAG-PHC-4,27,9,8,0.89
BHAG-PHC-4,28,9,7,0.78
BHAG-PHC-4,29,9,6,0.67
BHAG-PHC-4,30,9,6,0.67
BHAG-PHC-4,31,9,9,1.0
BHAG-PHC-4,32,9,6,0.67
BHAG-PHC-4,33,9,7,0.78
BHAG-PHC-4,34,9,7,0.78
BHAG-PHC-4,35,9,6,0.67
BHAG-PHC-4,36,9,6,0.67
BHAG-PHC-4,37,9,7,0.78
BHAG-PHC-4,38,9,6,0.67
BHAG-PHC-4,39,9,6,0.67
BHAG-PHC-4,40,9,7,0.78
BHAG-PHC-4,41,9,7,0.78
BHAG-PHC-4,42,9,8,0.89
BHAG-PHC-4,43,9,7,0.78
BHAG-PHC-4,44,9,6,0.67
BHAG-PHC-4,45,9,8,0.89
BHAG-PHC-4,46,9,6,0.67
BHAG-PHC-4,47,9,6,0.67
BHAG-PHC-4,48,9,7,0.78
BHAG-PHC-4,49,9,6,0.67
BHAG-PHC-4,50,9,6,0.67
BHAG-PHC-4,51,9,6,0.67
BHAG-PHC-4,52,9,6,0.67
BHAG-PHC-4,53,9,8,0.89
BHAG-PHC-4,54,9,5,0.56
BHAG-PHC-4,55,9,7,0.78
BHAG-PHC-4,56,9,5,0.56
BHAG-PHC-4,57,9,6,0.67
BHAG-PHC-4,58,9,6,0.67
BHAG-PHC-4,59,9,9,1.0
BHAG-PHC-4,60,9,7,0.78
BHAG-PHC-4,61,9,5,0.56
BHAG-PHC-4,62,9,6,0.67
BHAG-PHC-4,63,9,8,0.89
BHAG-PHC-4,64,9,6,0.67
BHAG-PHC-4,65,9,8,0.89
BHAG-PHC-4,66,9,4,0.44
BHAG-PHC-4,67,9,7,0.78
BHAG-PHC-4,68,9,6,0.67
BHAG-PHC-4,69,9,7,0.78
BHAG-PHC-4,70,9,7,0.78
BHAG-PHC-4,71,9,7,0.78
BHAG-PHC-4,72,9,5,0.56
BHAG-PHC-4,73,9,8,0.89
BHAG-PHC-4,74,9,7,0.78
BHAG-PHC-4,75,9,8,0.89
BHAG-PHC-4,76,9,8,0.89
BHAG-PHC-4,77,9,5,0.56
BHAG-PHC-4,78,9,7,0.78
BHAG-PHC-4,79,9,7,0.78
BHAG-PHC-4,80,9,7,0.78
BHAG-PHC-4,81,9,9,1.0
BHAG-PHC-4,82,9,6,0.67
BHAG-PHC-4,83,9,7,0.78
BHAG-PHC-4,84,9,6,0.67
BHAG-PHC-4,85,9,6,0.67
BHAG-PHC-4,86,9,6,0.67
BHAG-PHC-4,87,9,8,0.89
BHAG-PHC-4,88,9,6,0.67
BHAG-PHC-4,89,9,6,0.67
JALN-CHC-1,0,25,19,0.76
JALN-CHC-1,1,25,18,0.72
JALN-CHC-1,2,25,19,0.76
JALN-CHC-1,3,25,15,0.6
JALN-CHC-1,4,25,23,0.92
JALN-CHC-1,5,25,22,0.88
JALN-CHC-1,6,25,24,0.96
JALN-CHC-1,7,25,17,0.68
JALN-CHC-1,8,25,18,0.72
JALN-CHC-1,9,25,19,0.76
JALN-CHC-1,10,25,20,0.8
JALN-CHC-1,11,25,17,0.68
JALN-CHC-1,12,25,19,0.76
JALN-CHC-1,13,25,17,0.68
JALN-CHC-1,14,25,19,0.76
JALN-CHC-1,15,25,21,0.84
JALN-CHC-1,16,25,18,0.72
JALN-CHC-1,17,25,21,0.84
JALN-CHC-1,18,25,17,0.68
JALN-CHC-1,19,25,19,0.76
JALN-CHC-1,20,25,22,0.88
JALN-CHC-1,21,25,20,0.8
JALN-CHC-1,22,25,21,0.84
JALN-CHC-1,23,25,20,0.8
JALN-CHC-1,24,25,15,0.6
JALN-CHC-1,25,25,16,0.64
JALN-CHC-1,26,25,15,0.6
JALN-CHC-1,27,25,25,1.0
JALN-CHC-1,28,25,22,0.88
JALN-CHC-1,29,25,24,0.96
JALN-CHC-1,30,25,15,0.6
JALN-CHC-1,31,25,17,0.68
JALN-CHC-1,32,25,20,0.8
JALN-CHC-1,33,25,16,0.64
JALN-CHC-1,34,25,22,0.88
JALN-CHC-1,35,25,19,0.76
JALN-CHC-1,36,25,14,0.56
JALN-CHC-1,37,25,18,0.72
JALN-CHC-1,38,25,20,0.8
JALN-CHC-1,39,25,19,0.76
JALN-CHC-1,40,25,24,0.96
JALN-CHC-1,41,25,17,0.68
JALN-CHC-1,42,25,19,0.76
JALN-CHC-1,43,25,16,0.64
JALN-CHC-1,44,25,20,0.8
JALN-CHC-1,45,25,17,0.68
JALN-CHC-1,46,25,24,0.96
JALN-CHC-1,47,25,20,0.8
JALN-CHC-1,48,25,20,0.8
JALN-CHC-1,49,25,19,0.76
JALN-CHC-1,50,25,18,0.72
JALN-CHC-1,51,25,14,0.56
JALN-CHC-1,52,25,25,1.0
JALN-CHC-1,53,25,21,0.84
JALN-CHC-1,54,25,13,0.52
JALN-CHC-1,55,25,17,0.68
JALN-CHC-1,56,25,19,0.76
JALN-CHC-1,57,25,16,0.64
JALN-CHC-1,58,25,19,0.76
JALN-CHC-1,59,25,25,1.0
JALN-CHC-1,60,25,16,0.64
JALN-CHC-1,61,25,18,0.72
JALN-CHC-1,62,25,18,0.72
JALN-CHC-1,63,25,20,0.8
JALN-CHC-1,64,25,21,0.84
JALN-CHC-1,65,25,18,0.72
JALN-CHC-1,66,25,18,0.72
JALN-CHC-1,67,25,19,0.76
JALN-CHC-1,68,25,18,0.72
JALN-CHC-1,69,25,18,0.72
JALN-CHC-1,70,25,16,0.64
JALN-CHC-1,71,25,17,0.68
JALN-CHC-1,72,25,20,0.8
JALN-CHC-1,73,25,22,0.88
JALN-CHC-1,74,25,18,0.72
JALN-CHC-1,75,25,16,0.64
JALN-CHC-1,76,25,18,0.72
JALN-CHC-1,77,25,21,0.84
JALN-CHC-1,78,25,18,0.72
JALN-CHC-1,79,25,18,0.72
JALN-CHC-1,80,25,16,0.64
JALN-CHC-1,81,25,18,0.72
JALN-CHC-1,82,25,20,0.8
JALN-CHC-1,83,25,17,0.68
JALN-CHC-1,84,25,18,0.72
JALN-CHC-1,85,25,19,0.76
JALN-CHC-1,86,25,15,0.6
JALN-CHC-1,87,25,21,0.84
JALN-CHC-1,88,25,15,0.6
JALN-CHC-1,89,25,18,0.72
JALN-PHC-2,0,10,7,0.7
JALN-PHC-2,1,10,8,0.8
JALN-PHC-2,2,10,7,0.7
JALN-PHC-2,3,10,9,0.9
JALN-PHC-2,4,10,6,0.6
JALN-PHC-2,5,10,7,0.7
JALN-PHC-2,6,10,8,0.8
JALN-PHC-2,7,10,8,0.8
JALN-PHC-2,8,10,6,0.6
JALN-PHC-2,9,10,7,0.7
JALN-PHC-2,10,10,7,0.7
JALN-PHC-2,11,10,6,0.6
JALN-PHC-2,12,10,8,0.8
JALN-PHC-2,13,10,7,0.7
JALN-PHC-2,14,10,8,0.8
JALN-PHC-2,15,10,8,0.8
JALN-PHC-2,16,10,8,0.8
JALN-PHC-2,17,10,9,0.9
JALN-PHC-2,18,10,8,0.8
JALN-PHC-2,19,10,9,0.9
JALN-PHC-2,20,10,9,0.9
JALN-PHC-2,21,10,9,0.9
JALN-PHC-2,22,10,7,0.7
JALN-PHC-2,23,10,7,0.7
JALN-PHC-2,24,10,7,0.7
JALN-PHC-2,25,10,6,0.6
JALN-PHC-2,26,10,7,0.7
JALN-PHC-2,27,10,6,0.6
JALN-PHC-2,28,10,8,0.8
JALN-PHC-2,29,10,7,0.7
JALN-PHC-2,30,10,8,0.8
JALN-PHC-2,31,10,7,0.7
JALN-PHC-2,32,10,8,0.8
JALN-PHC-2,33,10,7,0.7
JALN-PHC-2,34,10,8,0.8
JALN-PHC-2,35,10,7,0.7
JALN-PHC-2,36,10,8,0.8
JALN-PHC-2,37,10,7,0.7
JALN-PHC-2,38,10,8,0.8
JALN-PHC-2,39,10,6,0.6
JALN-PHC-2,40,10,6,0.6
JALN-PHC-2,41,10,7,0.7
JALN-PHC-2,42,10,8,0.8
JALN-PHC-2,43,10,8,0.8
JALN-PHC-2,44,10,8,0.8
JALN-PHC-2,45,10,7,0.7
JALN-PHC-2,46,10,9,0.9
JALN-PHC-2,47,10,7,0.7
JALN-PHC-2,48,10,5,0.5
JALN-PHC-2,49,10,8,0.8
JALN-PHC-2,50,10,7,0.7
JALN-PHC-2,51,10,5,0.5
JALN-PHC-2,52,10,8,0.8
JALN-PHC-2,53,10,7,0.7
JALN-PHC-2,54,10,7,0.7
JALN-PHC-2,55,10,9,0.9
JALN-PHC-2,56,10,7,0.7
JALN-PHC-2,57,10,9,0.9
JALN-PHC-2,58,10,7,0.7
JALN-PHC-2,59,10,9,0.9
JALN-PHC-2,60,10,8,0.8
JALN-PHC-2,61,10,6,0.6
JALN-PHC-2,62,10,7,0.7
JALN-PHC-2,63,10,7,0.7
JALN-PHC-2,64,10,7,0.7
JALN-PHC-2,65,10,8,0.8
JALN-PHC-2,66,10,7,0.7
JALN-PHC-2,67,10,8,0.8
JALN-PHC-2,68,10,8,0.8
JALN-PHC-2,69,10,7,0.7
JALN-PHC-2,70,10,9,0.9
JALN-PHC-2,71,10,8,0.8
JALN-PHC-2,72,10,7,0.7
JALN-PHC-2,73,10,8,0.8
JALN-PHC-2,74,10,8,0.8
JALN-PHC-2,75,10,8,0.8
JALN-PHC-2,76,10,8,0.8
JALN-PHC-2,77,10,10,1.0
JALN-PHC-2,78,10,6,0.6
JALN-PHC-2,79,10,7,0.7
JALN-PHC-2,80,10,6,0.6
JALN-PHC-2,81,10,7,0.7
JALN-PHC-2,82,10,7,0.7
JALN-PHC-2,83,10,6,0.6
JALN-PHC-2,84,10,8,0.8
JALN-PHC-2,85,10,8,0.8
JALN-PHC-2,86,10,8,0.8
JALN-PHC-2,87,10,5,0.5
JALN-PHC-2,88,10,6,0.6
JALN-PHC-2,89,10,7,0.7
JALN-PHC-3,0,11,8,0.73
JALN-PHC-3,1,11,9,0.82
JALN-PHC-3,2,11,8,0.73
JALN-PHC-3,3,11,9,0.82
JALN-PHC-3,4,11,7,0.64
JALN-PHC-3,5,11,9,0.82
JALN-PHC-3,6,11,9,0.82
JALN-PHC-3,7,11,7,0.64
JALN-PHC-3,8,11,9,0.82
JALN-PHC-3,9,11,8,0.73
JALN-PHC-3,10,11,8,0.73
JALN-PHC-3,11,11,9,0.82
JALN-PHC-3,12,11,8,0.73
JALN-PHC-3,13,11,8,0.73
JALN-PHC-3,14,11,8,0.73
JALN-PHC-3,15,11,10,0.91
JALN-PHC-3,16,11,7,0.64
JALN-PHC-3,17,11,9,0.82
JALN-PHC-3,18,11,9,0.82
JALN-PHC-3,19,11,7,0.64
JALN-PHC-3,20,11,7,0.64
JALN-PHC-3,21,11,7,0.64
JALN-PHC-3,22,11,8,0.73
JALN-PHC-3,23,11,6,0.55
JALN-PHC-3,24,11,9,0.82
JALN-PHC-3,25,11,9,0.82
JALN-PHC-3,26,11,10,0.91
JALN-PHC-3,27,11,8,0.73
JALN-PHC-3,28,11,10,0.91
JALN-PHC-3,29,11,9,0.82
JALN-PHC-3,30,11,8,0.73
JALN-PHC-3,31,11,7,0.64
JALN-PHC-3,32,11,7,0.64
JALN-PHC-3,33,11,9,0.82
JALN-PHC-3,34,11,8,0.73
JALN-PHC-3,35,11,8,0.73
JALN-PHC-3,36,11,10,0.91
JALN-PHC-3,37,11,6,0.55
JALN-PHC-3,38,11,8,0.73
JALN-PHC-3,39,11,8,0.73
JALN-PHC-3,40,11,9,0.82
JALN-PHC-3,41,11,8,0.73
JALN-PHC-3,42,11,7,0.64
JALN-PHC-3,43,11,7,0.64
JALN-PHC-3,44,11,8,0.73
JALN-PHC-3,45,11,8,0.73
JALN-PHC-3,46,11,9,0.82
JALN-PHC-3,47,11,9,0.82
JALN-PHC-3,48,11,8,0.73
JALN-PHC-3,49,11,8,0.73
JALN-PHC-3,50,11,8,0.73
JALN-PHC-3,51,11,9,0.82
JALN-PHC-3,52,11,9,0.82
JALN-PHC-3,53,11,9,0.82
JALN-PHC-3,54,11,9,0.82
JALN-PHC-3,55,11,8,0.73
JALN-PHC-3,56,11,8,0.73
JALN-PHC-3,57,11,9,0.82
JALN-PHC-3,58,11,8,0.73
JALN-PHC-3,59,11,7,0.64
JALN-PHC-3,60,11,9,0.82
JALN-PHC-3,61,11,9,0.82
JALN-PHC-3,62,11,8,0.73
JALN-PHC-3,63,11,9,0.82
JALN-PHC-3,64,11,7,0.64
JALN-PHC-3,65,11,7,0.64
JALN-PHC-3,66,11,10,0.91
JALN-PHC-3,67,11,6,0.55
JALN-PHC-3,68,11,9,0.82
JALN-PHC-3,69,11,8,0.73
JALN-PHC-3,70,11,8,0.73
JALN-PHC-3,71,11,9,0.82
JALN-PHC-3,72,11,8,0.73
JALN-PHC-3,73,11,7,0.64
JALN-PHC-3,74,11,9,0.82
JALN-PHC-3,75,11,10,0.91
JALN-PHC-3,76,11,7,0.64
JALN-PHC-3,77,11,6,0.55
JALN-PHC-3,78,11,8,0.73
JALN-PHC-3,79,11,7,0.64
JALN-PHC-3,80,11,8,0.73
JALN-PHC-3,81,11,7,0.64
JALN-PHC-3,82,11,7,0.64
JALN-PHC-3,83,11,9,0.82
JALN-PHC-3,84,11,10,0.91
JALN-PHC-3,85,11,8,0.73
JALN-PHC-3,86,11,10,0.91
JALN-PHC-3,87,11,6,0.55
JALN-PHC-3,88,11,10,0.91
JALN-PHC-3,89,11,9,0.82
JALN-PHC-4,0,14,11,0.79
JALN-PHC-4,1,14,8,0.57
JALN-PHC-4,2,14,10,0.71
JALN-PHC-4,3,14,13,0.93
JALN-PHC-4,4,14,10,0.71
JALN-PHC-4,5,14,9,0.64
JALN-PHC-4,6,14,10,0.71
JALN-PHC-4,7,14,12,0.86
JALN-PHC-4,8,14,13,0.93
JALN-PHC-4,9,14,9,0.64
JALN-PHC-4,10,14,12,0.86
JALN-PHC-4,11,14,9,0.64
JALN-PHC-4,12,14,11,0.79
JALN-PHC-4,13,14,12,0.86
JALN-PHC-4,14,14,8,0.57
JALN-PHC-4,15,14,13,0.93
JALN-PHC-4,16,14,9,0.64
JALN-PHC-4,17,14,11,0.79
JALN-PHC-4,18,14,11,0.79
JALN-PHC-4,19,14,12,0.86
JALN-PHC-4,20,14,10,0.71
JALN-PHC-4,21,14,9,0.64
JALN-PHC-4,22,14,9,0.64
JALN-PHC-4,23,14,11,0.79
JALN-PHC-4,24,14,9,0.64
JALN-PHC-4,25,14,10,0.71
JALN-PHC-4,26,14,9,0.64
JALN-PHC-4,27,14,11,0.79
JALN-PHC-4,28,14,9,0.64
JALN-PHC-4,29,14,10,0.71
JALN-PHC-4,30,14,10,0.71
JALN-PHC-4,31,14,13,0.93
JALN-PHC-4,32,14,9,0.64
JALN-PHC-4,33,14,13,0.93
JALN-PHC-4,34,14,8,0.57
JALN-PHC-4,35,14,11,0.79
JALN-PHC-4,36,14,8,0.57
JALN-PHC-4,37,14,11,0.79
JALN-PHC-4,38,14,11,0.79
JALN-PHC-4,39,14,9,0.64
JALN-PHC-4,40,14,13,0.93
JALN-PHC-4,41,14,11,0.79
JALN-PHC-4,42,14,11,0.79
JALN-PHC-4,43,14,9,0.64
JALN-PHC-4,44,14,12,0.86
JALN-PHC-4,45,14,14,1.0
JALN-PHC-4,46,14,7,0.5
JALN-PHC-4,47,14,9,0.64
JALN-PHC-4,48,14,11,0.79
